Date,Close,High,Low,Open,Volume
2015-01-02,79.88629913330078,80.98556338945195,78.88614306366385,80.89546066345889,979800
2015-01-05,78.47163391113281,79.47178967183233,78.30945317907958,79.15642679107015,2013600
2015-01-06,77.33635711669922,78.76000366504722,76.64255163929006,78.55276119306326,2286200
2015-01-07,78.363525390625,78.45362810254663,77.36336947718358,77.88597483048376,1283200
2015-01-08,79.06632232666016,79.54387280320287,78.22835419112829,78.32746921921019,1593600
2015-01-09,78.39055633544922,79.33665200649766,77.93102356313457,79.01227674067513,1039900
2015-01-12,77.27326202392578,78.80502865579595,77.05700727930733,78.6518533674881,766100
2015-01-13,81.89559936523438,83.21111813405945,78.23737584542774,78.72393871188017,3777400
2015-01-14,80.10255432128906,81.03963788034805,78.96724062241404,80.7242679991509,2430900
2015-01-15,79.55289459228516,80.7692983208824,79.29159193031457,80.49898332590706,1091100
2015-01-16,81.78746795654297,81.86856520081459,78.24637744298151,79.36367295128579,2229100
2015-01-20,81.95866394042969,82.26502136318271,80.7783027844466,81.85053657809416,2370600
2015-01-21,81.7243881225586,82.21996325357097,80.82334742936878,81.1477226288687,1921300
2015-01-22,82.607421875,83.22914223475449,81.16575795144942,81.99471384819152,1217000
2015-01-23,82.73358917236328,83.46343022514091,82.19296591569845,82.26505084975982,1011200
2015-01-26,83.08497619628906,83.28320628377153,81.71539712502239,82.38216543113931,935700
2015-01-27,82.34612274169922,83.04893350488247,81.54419693505206,82.05778994463951,1091100
2015-01-28,80.22866821289062,83.07595337299803,79.96736557369422,82.89574797498443,1837100
2015-01-29,81.3549575805664,81.44506026677475,79.08433139150797,80.12052946888971,1960100
2015-01-30,80.58910369873047,81.47211996835432,80.13858322970697,80.3007708735313,2303700
2015-02-02,81.3639907836914,81.55320853558698,79.17446126261969,80.24669519002794,1424500
2015-02-03,84.67980194091797,84.76089229839585,82.35511545169581,82.77860565024339,2073000
2015-02-04,85.45472717285156,86.15754494406197,84.13020264584112,84.27436563458349,2016200
2015-02-05,86.39179229736328,86.4909073386055,85.16637621872869,85.5988788418216,1167600
2015-02-06,87.89653015136719,89.75267194384472,86.65308948507828,86.65308948507828,2077400
2015-02-09,87.31083679199219,87.86947757255123,86.99547395225817,87.54510927624932,782700
2015-02-10,88.13081359863281,88.35607383735697,86.80628229503125,87.52711780870733,808900
2015-02-11,88.4461669921875,88.78856001662207,87.72533161249869,87.92356168563289,1299100
2015-02-12,92.07737731933594,92.4197704071856,89.13998188349917,89.26612706714889,3270800
2015-02-13,92.07737731933594,92.29362522353588,90.83393640279314,91.39258426923968,1760400
2015-02-17,92.98741149902344,93.04147862375737,91.56377220308889,91.96923782941528,1131400
2015-02-18,94.61829376220703,94.70839646487994,92.47381231685578,92.82521766935703,1493200
2015-02-19,94.50116729736328,95.20398497519612,94.21283448378949,94.45611937691531,2152000
2015-02-20,94.2759017944336,94.8165318047173,93.53704857136148,94.23985933545494,2779600
2015-02-23,94.12223052978516,94.57417633316746,93.7245229121878,94.4747477047317,1508300
2015-02-24,94.0137710571289,94.30301610500565,93.5979817318152,93.9053015781204,2446400
2015-02-25,93.71549224853516,94.29398238803287,93.5618323137631,94.17647894899774,1382400
2015-02-26,93.54376220703125,93.93243596417311,93.25451710144758,93.86012296374037,1305200
2015-02-27,93.19122314453125,93.78779491429012,93.13699185496978,93.78779491429012,1659800
2015-03-02,93.54376220703125,93.73357866105673,93.19124495010576,93.19124495010576,1522400
2015-03-03,93.66123962402344,93.76066824062099,92.53137525009211,93.19121218262688,1205600
2015-03-04,92.69409942626953,93.57086860930137,92.45004479796903,93.39009302223528,1702700
2015-03-05,92.92007446289062,93.73357151926105,92.63986333160058,93.50759858223665,1225200
2015-03-06,91.6817398071289,93.80588402484834,91.38345387673748,93.1550808662295,1733200
2015-03-09,93.52567291259766,93.76068667951353,91.50999143879831,91.68173306417678,1978900
2015-03-10,91.79020690917969,93.04661584807883,91.103247271173,92.43196920273527,1281400
2015-03-11,92.70311737060547,93.290648271337,91.5551781090508,91.64556588697594,1279500
